Date,CreateTime,Adjused Sentiment,Symbol
3/28/2017,13:42:49,0.863802778,TSLA
3/28/2017,13:42:56,0.745639088,TSLA
3/28/2017,13:43:08,0.986105434,TSLA
3/28/2017,13:43:10,0.892602459,FB
3/28/2017,13:43:19,-0.193621399,TSLA
3/28/2017,13:43:33,0.072373569,AAPL
3/28/2017,13:44:06,0.186444418,TSLA
3/28/2017,13:44:14,0.880617592,TSLA
3/28/2017,13:44:16,0.126065098,FB
3/28/2017,13:44:21,0.198569929,AAPL
3/28/2017,13:44:24,-0.163561728,TSLA
3/28/2017,13:44:29,-0.199493699,FB
3/28/2017,13:44:31,0.948827574,TSLA
3/28/2017,13:44:49,0.909982431,TSLA
3/28/2017,13:44:50,0.997772311,TSLA
3/28/2017,13:44:56,-0.087874451,TSLA
3/28/2017,13:44:57,0.944010012,FB
3/28/2017,13:44:57,0.945625554,TSLA
3/28/2017,13:44:57,0.084018536,TSLA
3/28/2017,13:45:03,0.092896201,TSLA
3/28/2017,13:45:16,-0.160596354,FB
3/28/2017,13:45:24,0.722410783,TSLA
3/28/2017,13:45:44,0.825330816,FB
3/28/2017,13:46:17,-0.071513238,TSLA
3/28/2017,13:46:19,0.885271861,AAPL
3/28/2017,13:46:39,0.807318072,TSLA
3/28/2017,13:47:01,0.18357087,TSLA
3/28/2017,13:47:05,0.114806564,FB
3/28/2017,13:47:08,-0.172713973,FB
3/28/2017,13:47:13,0.718296257,FB
3/28/2017,13:47:19,0.867801167,TSLA
3/28/2017,13:47:20,0.99347316,TSLA
3/28/2017,13:47:20,0.973235847,TSLA
3/28/2017,13:47:40,0.97294063,TSLA
3/28/2017,13:47:40,0.108441215,TSLA
3/28/2017,13:47:47,0.036891206,TSLA
3/28/2017,13:48:22,0.03177425,TSLA
3/28/2017,13:48:34,-0.747309611,TSLA
3/28/2017,13:48:43,0.981532171,TSLA
3/28/2017,13:49:26,0.818738384,TSLA
3/28/2017,13:49:27,0.955081822,TSLA
3/28/2017,13:49:28,0.839770669,TSLA
3/28/2017,13:49:52,0.975522822,AAPL
3/28/2017,13:49:56,0.895646028,TSLA
3/28/2017,13:50:09,0.992052671,FB
3/28/2017,13:50:14,-0.730458124,TSLA
3/28/2017,13:50:21,0.867970814,FB
3/28/2017,13:50:36,0.971178404,AAPL
3/28/2017,13:50:57,-0.134367193,TSLA
3/28/2017,13:51:00,0.804582673,TSLA
3/28/2017,13:51:14,0.948623624,TSLA
3/28/2017,13:51:58,0.892177216,AAPL
3/28/2017,13:52:03,0.772418381,TSLA
3/28/2017,13:52:04,0.190267166,TSLA
3/28/2017,13:52:06,-0.080775902,TSLA
3/28/2017,13:52:18,0.833874017,FB
3/28/2017,13:52:42,0.164585311,AAPL
3/28/2017,13:52:56,0.133017657,TSLA
3/28/2017,13:52:58,0.777754477,FB
3/28/2017,13:53:04,-0.107736931,FB
3/28/2017,13:53:25,0.983109148,AAPL
3/28/2017,13:53:30,0.715450299,FB
3/28/2017,13:53:48,0.892177216,AAPL
3/28/2017,13:53:49,0.862071552,TSLA
3/28/2017,13:53:53,0.772685513,TSLA
3/28/2017,13:54:04,0.99070394,TSLA
3/28/2017,13:54:11,-0.174938152,TSLA
3/28/2017,13:54:21,0.974019062,FB
3/28/2017,13:54:38,0.896088304,TSLA
3/28/2017,13:55:04,0.945897799,AAPL
3/28/2017,13:55:21,0.889350457,TSLA
3/28/2017,13:55:56,0.842174465,FB
3/28/2017,13:56:00,0.195792241,TSLA
3/28/2017,13:56:23,0.772750628,AAPL
3/28/2017,13:56:24,0.706766338,TSLA
3/28/2017,13:56:39,0.707270601,TSLA
3/28/2017,13:57:01,-0.76037862,TSLA
3/28/2017,13:57:01,0.824797167,TSLA
3/28/2017,13:57:22,0.997983013,TSLA
3/28/2017,13:57:29,0.959790438,FB
3/28/2017,13:58:02,0.98426988,TSLA
3/28/2017,13:58:03,0.885320931,AAPL
3/28/2017,13:59:07,0.085341198,FB
3/28/2017,13:59:11,0.994868438,AAPL
3/28/2017,13:59:37,-0.967379723,TSLA
3/28/2017,13:59:42,0.790858805,AAPL
3/28/2017,13:59:48,-0.0968661,TSLA
3/28/2017,13:59:59,0.957752327,TSLA
3/28/2017,14:00:03,0.994215914,FB
3/28/2017,14:00:08,0.965410365,AAPL
3/28/2017,14:00:10,0.854229579,FB
3/28/2017,14:00:30,0.196772461,FB
3/28/2017,14:00:51,-0.112373388,TSLA
3/28/2017,14:01:21,-0.989457244,TSLA
3/28/2017,14:01:24,0.110489534,TSLA
3/28/2017,14:02:36,-0.084160577,FB
3/28/2017,14:02:37,-0.768463394,TSLA
3/28/2017,14:02:59,0.860283864,TSLA
3/28/2017,14:03:11,0.978198378,AAPL
3/28/2017,14:03:50,0.008256257,AAPL
3/28/2017,14:03:55,0.120161822,TSLA
3/28/2017,14:04:46,0.155404951,TSLA
3/28/2017,14:04:53,0.929315867,TSLA
3/28/2017,14:05:24,0.151730032,TSLA
3/28/2017,14:06:04,0.923609851,TSLA
3/28/2017,14:06:14,0.99903683,FB
3/28/2017,14:06:51,0.902835066,TSLA
3/28/2017,14:06:53,0.897371381,AAPL
3/28/2017,14:06:55,-0.059928349,FB
3/28/2017,14:07:32,-0.059924545,TSLA
3/28/2017,14:07:49,0.704248039,TSLA
3/28/2017,14:08:15,0.116052914,TSLA
3/28/2017,14:08:38,-0.79573302,TSLA
3/28/2017,14:09:01,0.165469075,TSLA
3/28/2017,14:09:08,0.808796043,TSLA
3/28/2017,14:09:18,0.916219492,AAPL
3/28/2017,14:09:48,-0.168798792,FB
3/28/2017,14:10:07,0.948981827,FB
3/28/2017,14:10:07,0.986517691,AAPL
3/28/2017,14:10:08,0.170022457,AAPL
3/28/2017,14:10:31,0.015840539,TSLA
3/28/2017,14:10:51,0.986918877,AAPL
3/28/2017,14:11:45,0.859095382,TSLA
3/28/2017,14:11:48,0.77887879,FB
3/28/2017,14:11:48,0.906028295,TSLA
3/28/2017,14:11:57,0.997426141,TSLA
3/28/2017,14:12:50,-0.866871264,FB
3/28/2017,14:12:53,0.781627199,FB
