ID,Symbol,Date,CreateTime,Body,Sentiment
81830792,TWTR,2017-05-02,2017-05-02T20:14:59Z,b'$TWTR $TWLO wrecked! Ouch.',None
81830742,TWTR,2017-05-02,2017-05-02T20:14:51Z,b'$EBAY sold my EBAY.  Still holding. $TWTR $PYPL and $NFLX',None
81830638,TWTR,2017-05-02,2017-05-02T20:14:13Z,b'$TWTR closing gap soon to 20',Bullish
81830125,TWTR,2017-05-02,2017-05-02T20:12:00Z,b'$TWTR I upgrade.',None
81829338,TWTR,2017-05-02,2017-05-02T20:08:31Z,b'RECAP 5/2\n+Chatter: $TWTR $BMY $SPLS $ORA $MOH\n-Chatter: $UNH',None
81829114,TWTR,2017-05-02,2017-05-02T20:07:32Z,b'$TWTR only place to check for live news/information. $AAPL $GOOG are silly not to scoop this up before its gets EXTREMLY/HUGELY expensive!?',Bullish
81828449,TWTR,2017-05-02,2017-05-02T20:04:44Z,b'Looks like $FEYE is guiding higher and beating on Billings...  the next $TWTR type move??',Bullish
81828322,TWTR,2017-05-02,2017-05-02T20:04:10Z,b'$TWTR Will the Twitter carnival continue into Friday?',None
81828228,TWTR,2017-05-02,2017-05-02T20:03:45Z,b'Can Facebook Beat Sky-High Earnings Expectations? $FB $SNAP $TWTR @facebook http://bit.ly/2pttp9W http://bit.ly/FBFNTTS',None
81828035,TWTR,2017-05-02,2017-05-02T20:02:57Z,b'$TWTR how much longer until the upgrades come in?',None
81827177,TWTR,2017-05-02,2017-05-02T19:59:18Z,b'5000 $TWTR Sep15 18 calls went up in 1 block on the ISE: http://wp.me/p6fy7h-6LTsr',None
81827027,TWTR,2017-05-02,2017-05-02T19:58:34Z,b'$TWTR http://www.businessinsider.com/mark-cuban-buying-twitter-stock-2017-5\nWow# he hated $TWTR a year ago and now bought some? ? This might be good for us long!!!',None
81826983,TWTR,2017-05-02,2017-05-02T19:58:18Z,b'$TWTR Where is @nedryerson and rest of the shorts?',Bullish
81826717,TWTR,2017-05-02,2017-05-02T19:57:03Z,b'$TWTR 62#000#000 shares traded.',Bullish
81826341,TWTR,2017-05-02,2017-05-02T19:54:55Z,b'$TWTR this is very interesting fella... must be short covering... what a crazy run...BUT# I seen this BS before. Hopefully this can maintain',None
81826333,TWTR,2017-05-02,2017-05-02T19:54:48Z,b'$TWTR BAM Tech part owned by $DIS consumer behavior change from cable to digital. Weird!',None
81825895,TWTR,2017-05-02,2017-05-02T19:52:27Z,b'$TWTR 7 mins for shorts to cover or face a crushing Wed again',Bullish
