ID,Symbol,CreateTime,Body,Sentiment
80995342,AAPL,2017-04-24T18:07:22Z,b'$TWTR short squeeze coming - IMO',Bearish
80994915,AAPL,2017-04-24T18:04:08Z,b'$TWTR short squeeze coming - IMO',Bullish
80994621,AAPL,2017-04-24T18:01:17Z,b'$TWTR short squeeze coming - IMO',Bullish
80994468,AAPL,2017-04-24T18:00:23Z,b'$TWTR short squeeze coming - IMO',None
80994228,AAPL,2017-04-24T17:58:42Z,b'$TWTR short squeeze coming - IMO',None
80994097,AAPL,2017-04-24T17:57:45Z,b'$TWTR short squeeze coming - IMO',None
80993972,AAPL,2017-04-24T17:57:00Z,b'$TWTR short squeeze coming - IMO',None
80993925,AAPL,2017-04-24T17:56:29Z,b'$TWTR short squeeze coming - IMO',Bullish
80993810,AAPL,2017-04-24T17:55:41Z,b'$TWTR short squeeze coming - IMO',None
80993741,AAPL,2017-04-24T17:55:07Z,b'$TWTR short squeeze coming - IMO',None
80993714,AAPL,2017-04-24T17:54:54Z,b'$TWTR short squeeze coming - IMO',None
80993478,AAPL,2017-04-24T17:53:09Z,b'$TWTR short squeeze coming - IMO',Bullish
80993394,AAPL,2017-04-24T17:52:31Z,b'$TWTR short squeeze coming - IMO',None
80993202,AAPL,2017-04-24T17:51:23Z,b'$TWTR short squeeze coming - IMO',Bullish
80993139,AAPL,2017-04-24T17:51:01Z,b'$TWTR short squeeze coming - IMO',Bullish
80993091,AAPL,2017-04-24T17:50:37Z,b'$TWTR short squeeze coming - IMO',Bullish
80992912,AAPL,2017-04-24T17:49:16Z,b'$TWTR short squeeze coming - IMO',None
80992445,AAPL,2017-04-24T17:46:09Z,b'$TWTR short squeeze coming - IMO',Bullish
80992335,AAPL,2017-04-24T17:45:26Z,b'$TWTR short squeeze coming - IMO',Bullish
80992309,AAPL,2017-04-24T17:45:17Z,b'$TWTR short squeeze coming - IMO',Bullish
80992011,AAPL,2017-04-24T17:43:19Z,b'$TWTR short squeeze coming - IMO',None
80991904,AAPL,2017-04-24T17:42:42Z,b'$TWTR short squeeze coming - IMO',Bullish
80991589,AAPL,2017-04-24T17:40:26Z,b'$TWTR short squeeze coming - IMO',Bullish
80991382,AAPL,2017-04-24T17:38:59Z,b'$TWTR short squeeze coming - IMO',Bullish
80991369,AAPL,2017-04-24T17:38:54Z,b'$TWTR short squeeze coming - IMO',Bearish
80991323,AAPL,2017-04-24T17:38:35Z,b'$TWTR short squeeze coming - IMO',None
80991248,AAPL,2017-04-24T17:38:08Z,b'$TWTR short squeeze coming - IMO',Bullish
80991144,AAPL,2017-04-24T17:37:18Z,b'$TWTR short squeeze coming - IMO',None
80990902,AAPL,2017-04-24T17:35:32Z,b'$TWTR short squeeze coming - IMO',None
80990669,AAPL,2017-04-24T17:33:43Z,b'$TWTR short squeeze coming - IMO',None
80990207,AAPL,2017-04-24T17:30:50Z,b'$TWTR short squeeze coming - IMO',Bullish
80990182,AAPL,2017-04-24T17:30:36Z,b'$TWTR short squeeze coming - IMO',Bullish
80990174,AAPL,2017-04-24T17:30:30Z,b'$TWTR short squeeze coming - IMO',Bullish
80989773,AAPL,2017-04-24T17:27:44Z,b'$TWTR short squeeze coming - IMO',Bearish
80989410,AAPL,2017-04-24T17:25:24Z,b'$TWTR short squeeze coming - IMO',None
80989159,AAPL,2017-04-24T17:23:47Z,b'$TWTR short squeeze coming - IMO',Bullish
80988757,AAPL,2017-04-24T17:21:21Z,b'$TWTR short squeeze coming - IMO',None
80988750,AAPL,2017-04-24T17:21:20Z,b'$TWTR short squeeze coming - IMO',None
80988413,AAPL,2017-04-24T17:18:59Z,b'$TWTR short squeeze coming - IMO',Bullish
80988056,AAPL,2017-04-24T17:16:32Z,b'$TWTR short squeeze coming - IMO',None
80988048,AAPL,2017-04-24T17:16:30Z,b'$TWTR short squeeze coming - IMO',Bullish
80987968,AAPL,2017-04-24T17:15:53Z,b'$TWTR short squeeze coming - IMO',Bullish
80987898,AAPL,2017-04-24T17:15:24Z,b'$TWTR short squeeze coming - IMO',None
80987646,AAPL,2017-04-24T17:13:35Z,b'$TWTR short squeeze coming - IMO',Bullish
80987642,AAPL,2017-04-24T17:13:31Z,b'$TWTR short squeeze coming - IMO',Bullish
80987460,AAPL,2017-04-24T17:12:09Z,b'$TWTR short squeeze coming - IMO',Bullish
80987183,AAPL,2017-04-24T17:10:16Z,b'$TWTR short squeeze coming - IMO',None
80986723,AAPL,2017-04-24T17:06:48Z,b'$TWTR short squeeze coming - IMO',Bullish
80986648,AAPL,2017-04-24T17:06:19Z,b'$TWTR short squeeze coming - IMO',None
80986505,AAPL,2017-04-24T17:05:22Z,b'$TWTR short squeeze coming - IMO',Bullish
80986486,AAPL,2017-04-24T17:05:07Z,b'$TWTR short squeeze coming - IMO',None
80986179,AAPL,2017-04-24T17:02:51Z,b'$TWTR short squeeze coming - IMO',None
80986173,AAPL,2017-04-24T17:02:48Z,b'$TWTR short squeeze coming - IMO',Bullish
